No.,Time,Source,Destination,Protocol,Length,Info
19159,9.9707619,10.0.1.3,10.0.1.2,TCP,54,"9573  >  39279 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19160,9.9710355,10.0.1.2,10.0.1.3,TCP,74,40859  >  9572 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002320 TSecr=0 WS=128
19161,9.9716856,10.0.1.3,10.0.1.2,TCP,54,"9572  >  40859 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19162,9.9718441,10.0.1.2,10.0.1.3,TCP,74,36911  >  9575 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002321 TSecr=0 WS=128
19163,9.9721729,10.0.1.3,10.0.1.2,TCP,54,"9575  >  36911 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19164,9.9726548,10.0.1.2,10.0.1.3,TCP,74,42117  >  9578 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002322 TSecr=0 WS=128
19165,9.972679,10.0.1.2,10.0.1.3,TCP,74,33703  >  9576 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002322 TSecr=0 WS=128
19166,9.9728956,10.0.1.3,10.0.1.2,TCP,54,"9576  >  33703 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19167,9.9729105,10.0.1.3,10.0.1.2,TCP,54,"9578  >  42117 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19168,9.9732912,10.0.1.2,10.0.1.3,TCP,74,40041  >  9574 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002323 TSecr=0 WS=128
19169,9.9740678,10.0.1.2,10.0.1.3,TCP,74,38037  >  9577 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002323 TSecr=0 WS=128
19170,9.974281,10.0.1.3,10.0.1.2,TCP,54,"9577  >  38037 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19171,9.9742952,10.0.1.3,10.0.1.2,TCP,54,"9574  >  40041 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19172,9.9746141,10.0.1.2,10.0.1.3,TCP,74,34447  >  9579 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002324 TSecr=0 WS=128
19173,9.9747511,10.0.1.3,10.0.1.2,TCP,54,"9579  >  34447 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19174,9.9750562,10.0.1.2,10.0.1.3,TCP,74,43857  >  9580 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002324 TSecr=0 WS=128
19175,9.9752062,10.0.1.3,10.0.1.2,TCP,54,"9580  >  43857 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19176,9.9797543,10.0.1.2,10.0.1.3,TCP,74,40467  >  9589 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002329 TSecr=0 WS=128
19177,9.9801384,10.0.1.3,10.0.1.2,TCP,54,"9589  >  40467 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19178,9.9802706,10.0.1.2,10.0.1.3,TCP,74,38643  >  9581 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002330 TSecr=0 WS=128
19179,9.9807651,10.0.1.3,10.0.1.2,TCP,54,"9581  >  38643 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19180,9.9809156,10.0.1.2,10.0.1.3,TCP,74,44167  >  9584 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002330 TSecr=0 WS=128
19181,9.9812584,10.0.1.3,10.0.1.2,TCP,54,"9584  >  44167 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19182,9.9813822,10.0.1.2,10.0.1.3,TCP,74,34287  >  9585 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002331 TSecr=0 WS=128
19183,9.9815812,10.0.1.3,10.0.1.2,TCP,54,"9585  >  34287 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19184,9.9823165,10.0.1.2,10.0.1.3,TCP,74,39465  >  9583 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002332 TSecr=0 WS=128
19185,9.9823529,10.0.1.2,10.0.1.3,TCP,74,41887  >  9586 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002332 TSecr=0 WS=128
19186,9.9829612,10.0.1.2,10.0.1.3,TCP,74,44959  >  9587 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002332 TSecr=0 WS=128
19187,9.9829785,10.0.1.2,10.0.1.3,TCP,74,38047  >  9582 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002332 TSecr=0 WS=128
19188,9.9832982,10.0.1.2,10.0.1.3,TCP,74,34501  >  9590 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002333 TSecr=0 WS=128
19189,9.9835748,10.0.1.3,10.0.1.2,TCP,54,"9586  >  41887 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19190,9.983575,10.0.1.3,10.0.1.2,TCP,54,"9587  >  44959 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19191,9.9835751,10.0.1.3,10.0.1.2,TCP,54,"9582  >  38047 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19192,9.9836069,10.0.1.3,10.0.1.2,TCP,54,"9590  >  34501 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19193,9.9836071,10.0.1.3,10.0.1.2,TCP,54,"9583  >  39465 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
